"Duplo, Quatro, Primo",Color,Quantity
4066pr0029,1,
4066pr0153,1,
4066pr0025,1,
4066pr0246,1,
4066pr0397,1,
76371pr9985,1,
4066pr0021,1,
4066pr0011,1,
41970pr0006,1,
14222pr0019,1,
14222pr0020,1,
14222pr0021,1,
14222pr0018,1,
14222pr0008,1,
14222pr9992,1,
14222pr9993,1,
14222pr0014,1,
14222pr0013,1,
14222pr9998,1,
42025pr0004,1,
42025pr0003,1,
42025pr9998,1,
4145c02pr0001,1,
51704pr9998,1,
51704pr0001,1,
51704pr9999,1,
3437,1,
6474pr0003,1,
6474pr9994,1,
6474,1,
6474pr0006,1,
6474pr9984,1,
6474pr0012,1,
6474pr9981,1,
6474pr0002,1,
6474pr9980,1,
6474pr9976,1,
6474pr9995,1,
6474pr9975,1,
3437pr0046,1,
3437pr0059,1,
3437pr0055,1,
3437pr0056,1,
3437pr0019,1,
3437pr9996,1,
3437pr0170,1,
3437pr0152,1,
3437pr0135,1,
3437pr0031,1,
3437pr0169,1,
3437pr0166,1,
3437pr0159,1,
3437pr9992,1,
3437pr0165,1,
3437pr0168,1,
11170,1,
11170pr0019,1,
11170pr0020,1,
11170pr0009,1,
11170pr0010,1,
11170pr0001,1,
3664,1,
3664pr0003,1,
3664pr9991,1,
3664pr0005,1,
3664pr9992,1,
3664pr9995,1,
3664pr0001,1,
3664pr0022,1,
3664pr0004,1,
3664pr0021,1,
3664pr0028,1,
3664pr0029,1,
31110pr9980,1,
31110pr0135,1,
31110pr9981,1,
31110pr0157,1,
31110pr0120,1,
31110pr0156,1,
31110pr0125,1,
31110pr0136,1,
31110pr0145,1,
31110pr0007,1,
31110pr0107,1,
31110pr0015,1,
31110pr0158,1,
31110pr0161,1,
31110pr0160,1,
31110pr0162,1,
31110pr9995,1,
69716,1,
2302,1,
2302pr0008,1,
2302pr0021,1,
2302pr0018,1,
2302pr0019,1,
2301,1,
11344,1,
11344pr0005,1,
11344pr0014,1,
11344pr0004,1,
11344pr0006,1,
11344pr0013,1,
98224pr0010,1,
98224pr0011,1,
98224pr0013,1,
98224pr0014,1,
98224pr0012,1,
98223,1,
98223pr0024,1,
98223pr9998,1,
98223pr9993,1,
98223pr0030,1,
98223pr0031,1,
98223pr0025,1,
60980c01,1,
3011pr0003,1,
3011pr0031,1,
3011pr0006,1,
3011pr0017,1,
3011pr1046,1,
3011pr0037,1,
3011pr1050,1,
3011pr0015,1,
3011pr0038,1,
3011pr1045,1,
3011pr0035,1,
31215,1,
31111,1,
11198pr0001,1,
11198pr0004,1,
31213,1,
31213pr0024,1,
31213pr0033,1,
31213pr0007,1,
31213pr0002,1,
31213pr0022,1,
31213pr0037,1,
31213pr0008,1,
31213pr0035,1,
31213pr0020,1,
31213pr9997,1,
31213pr9992,1,
31213pr0032,1,
31213pr0034,1,
79788pr0002,1,
4198,1,
4198pr0024,1,
4198pr9995,1,
4198pr9972,1,
72133pr0006,1,
72133pr0001,1,
72133pr0002,1,
4198pr0025,1,
84196pr0001,1,
4198pr0020,1,
4198pr9974,1,
4198pr9975,1,
4198pr0004,1,
4198pr9999,1,
4198pr0023,1,
6394pr0001,1,
31111pr9998,1,
31111pr9993,1,
31111pr0016,1,
31111pr9990,1,
31111pr9977,1,
31111pr9989,1,
31111pr9970,1,
31111pr9991,1,
70683,1,
2300,1,
31453pr0002,1,
4197pr0004,1,
4197pr0008,1,
11197,1,
4197pr0005,1,
4197pr9997,1,
4199,1,
51732,1,
31113,1,
dupupn0127,1,
98225,1,
98225pr0007,1,
98225pr0008,1,
98220pr0004,1,
98220,1,
98220pr0003,1,
98220pr0007,1,
98220pr0001,1,
98220pr0008,1,
98220pr0002,1,
2354,1,
1970,1,
39924pr0001,1,
72134,1,
51559,1,
31208,1,
31441pr0001,1,
52072,1,
2204pr0001,1,
2207,1,
6432,1,
98238,1,
51383,1,
6460,1,
64139pr0002,1,
31223pr0001,1,
4890,1,
4890pr0001,1,
31371,1,
31323,1,
4914,1,
18918,1,
54043,1,
88760c01pr0001,1,
12592c06,1,
31202c06pr0001,1,
15320c03,1,
15320c01,1,
11248c03,1,
11248c06,1,
11248c04,1,
11248c08,1,
11248c07,1,
11248c02,1,
11248c01,1,
54007c02,1,
54007c01,1,
54007c03,1,
4883c01,1,
24911c04,1,
31216c01,1,
88760c01pr0005,1,
2312c03,1,
88765pr0005,1,
88764pr0003,1,
33593,1,
73549pr0003,1,
73549pr0002,1,
15452pr0003,1,
15452pr0008,1,
15452pr0004,1,
15453pr0005,1,
15454pr0003,1,
15454pr0005,1,
15454pr0008,1,
25014pr0002,1,
94899pr0001,1,
dupupn0013c02pr0001,1,
94905,1,
2235c04pr0001,1,
2235c02,1,
4354c03pr0001,1,
4354c03pr0002,1,
2218c02,1,
2218c04pr0002,1,
2218c03,1,
2218c06,1,
31363c01pr0005,1,
31363c01pr0004,1,
31363c02pr0008,1,
31363c02pr0001,1,
45075c02,1,
2388,1,
2392,1,
4839,1,
4885,1,
1962,1,
27383pr0002,1,
47423,1,
47423pr0004,1,
47423pr0001,1,
59684pr0001,1,
6446,1,
2247c01pr0001,1,
4888,1,
44715,1,
98215,1,
dupupn0098pr0002,1,
dupupn0139,1,
dupupn0041,1,
59181,1,
40643,1,
31053pr0001,1,
75931pr0001,1,
37063pr0002,1,
31050pr0002,1,
31333pr0003,1,
31333pr0012,1,
31333pr0007,1,
31333pr9998,1,
31333pr0011,1,
27372pr0014,1,
27372pr0013,1,
27372pr0010,1,
27372pr0012,1,
27372pr0009,1,
24742,1,
31368,1,
31313,1,
31324pr0001,1,
69897,1,
3240,1,
2230,1,
2230pr0003,1,
4253,1,
61649,1,
2332,1,
6468,1,
4247pr0003,1,
4247pr0002,1,
4247pr0001,1,
87321,1,
dupupn0118pr0004,1,
6467,1,
31067pr0001,1,
67872,1,
44526,1,
44681,1,
31179pr0001,1,
6469,1,
5334c02pr0001,1,
5334c01pr0001,1,
4891,1,
dupupn0076pr0005,1,
dupupn0076pr0006,1,
dupupn0076pr0002,1,
dupupn0077,1,
31366,1,
70675,1,
2214,1,
98460,1,
31021,1,
51725,1,
15793pr0001,1,
15515,1,
44534,1,
2591,1,
44535,1,
31287c03,1,
23230pr0002,1,
16434,1,
65188c01,1,
65188c01pr0001,1,
42404c01,1,
65875,1,
88929,1,
17744,1,
87655,1,
45141,1,
51265,1,
58065,1,
54009pr0001,1,
79793,1,
80166,1,
6343pr0002,1,
1314c04pr0001,1,
6343pr0005,1,
6353,1,
92018,1,
dupupn0160,1,
51710pr0002,1,
75732,1,
4882,1,
6426c02,1,
54035,1,
6425c01,1,
92006,1,
2103,1,
44460,1,
dupupn0104,1,
48648c01pr0003,1,
54034,1,
4909pr0002,1,
93702c02pr0006,1,
93702c01pr0013,1,
93702c01pr0001,1,
93702c02pr0004,1,
31219pr0002,1,
65114,1,
101597pr0001,1,
dupupn0068,1,
dupupn0096pr0003,1,
3118,1,
2390,1,
43852,1,
84194,1,
74587,1,
44519,1,
84193,1,
84191,1,
6410,1,
45124,1,
6510,1,
84195,1,
31220,1,
65084,1,
40666,1,
6413,1,
44524,1,
42058,1,
25549,1,
4672,1,
4196,1,
51262,1,
29304,1,
98218,1,
31465,1,
2198pr0001,1,
35088,1,
93150,1,
31157,1,
dupupn0137,1,
4182737,1,
dupupn0148,1,
4182736,1,
4173956,1,
31035,1,
dupupn0026,1,
92937c01,1,
55886c01pr0001,1,
55886pr0003,1,
89398,1,
87326,1,
44688,1,
31211,1,
31205,1,
31206,1,
31210,1,
65870,1,
31071,1,
31072pr0001,1,
31030pat02,1,
31030pat01,1,
2211c01,1,
2211c02,1,
2159,1,
6346,1,
62976,1,
42274pr0002,1,
4894,1,
4375,1,
4913,1,
2318c01,1,
52189c02,1,
11836,1,
99771pr0255,1,
32896,1,
dupupn0083c01,1,
dupupn0083c02,1,
45896,1,
45896pr0008,1,
dupupn0008c01,1,
13415,1,
dupupn0100pr0004,1,
31230,1,
43088,1,
1486c01,1,
1480c01pb0c02pr0001,1,
1480c01pr0001,1,
61088c01,1,
31225,1,
44600c01,1,
dupupn0140,1,
59389c01,1,
6427,1,
73352,1,
57888,1,
6514,1,
54037,1,
51714,1,
dupupn0075pr0001,1,
6479,1,
23154,1,
4904,1,
6525,1,
31624,1,
75536,1,
51289pr0001,1,
51289pr0003,1,
4916pr0003,1,
4916pr0001,1,
6309,1,
6309pr0009,1,
6309pr0035,1,
6309pr0076,1,
6309pr0077,1,
6309pr0078,1,
6309pr0079,1,
6309pr0080,1,
6309pr0081,1,
6309pr0072,1,
6309pr0071,1,
6309pr0022,1,
6309pr0098,1,
6309pr0083,1,
6309pr0082,1,
6309pr0084,1,
6309pr0085,1,
6309pr0056,1,
6309pr0087,1,
6309pr0086,1,
6309pr0090,1,
6309pr0089,1,
6309pr0097,1,
6309pr0092,1,
6309pr0093,1,
6309pr0091,1,
6309pr0064,1,
6309pr0138,1,
6309pr0137,1,
6309pr0136,1,
2756pr0366,1,
2756pr0375,1,
2756pr0376,1,
2756pr0377,1,
2756pr0378,1,
2756pr0379,1,
2756pr0380,1,
2756pr0381,1,
2756pr0383,1,
2756pr0367,1,
2756pr0368,1,
2756pr0369,1,
2756pr0370,1,
2756pr0371,1,
2756pr0372,1,
2756pr0373,1,
2756pr0436,1,
2756pr0424,1,
2756pr0348,1,
2756pr0357,1,
2756pr0358,1,
2756pr0359,1,
2756pr0361,1,
2756pr0363,1,
2756pr0364,1,
2756pr0365,1,
2756pr0349,1,
2756pr0350,1,
2756pr0351,1,
2756pr0353,1,
2756pr0354,1,
2756pr0356,1,
2756pr0466,1,
2756pr0462,1,
2756pr0464,1,
2756pr0384,1,
2756pr0393,1,
2756pr0395,1,
2756pr0396,1,
2756pr0397,1,
2756pr0385,1,
2756pr0386,1,
2756pr0387,1,
2756pr0388,1,
2756pr0389,1,
2756pr0390,1,
2756pr0391,1,
2756pr0392,1,
2756pr0474,1,
2756pr0483,1,
2756pr0484,1,
2756pr0490,1,
2756pr0176,1,
2756pr0172,1,
2756pr0174,1,
2756pr0175,1,
2756pr0404,1,
2756pr0405,1,
2756pr0019,1,
2756pr0059,1,
2756pr0063,1,
2756pr0070,1,
35960,1,
4911,1,
4912,1,
74847,1,
31184c01,1,
86599,1,
6293,1,
45039c01,1,
45751c02,1,
31425c03pr0001,1,
6668,1,
6311,1,
74864,1,
31351,1,
31350c01,1,
67261c,1,
101598pr0001,1,
87971,1,
47444c01pr0001,1,
73572c03,1,
73572c04,1,
52071,1,
47448,1,
40629,1,
25081c02,1,
25081c03,1,
47411,1,
6505c01pr0002,1,
6505c02,1,
35962c04,1,
13359,1,
13359pr0001,1,
104188,1,
51547,1,
51547pr0007,1,
51547pr0008,1,
51547pr0012,1,
51547pr0011,1,
52058pr0001,1,
92453,1,
4580c06,1,
6406a,1,
6406b,1,
36879pr0008,1,
31304pr0002,1,
28592pr0005,1,
28592pr0006,1,
28592pr0002,1,
28592pr0003,1,
52053,1,
42386,1,
14211,1,
51546,1,
51554pr0001,1,
4544pr0001,1,
4550,1,
52055pr0001,1,
51557,1,
51558,1,
6377,1,
31300c03,1,
51706,1,
48036,1,
84192,1,
44542,1,
89200pr0003,1,
87702c03pr0001,1,
87702c01,1,
47440c01,1,
47440c01pr0003,1,
47440c01pr0002,1,
31255c01,1,
2244c01pr0001,1,
54308,1,
92002,1,
92002pr9999,1,
2164,1,
75473c03,1,
75473c02,1,
6416c01pr0001,1,
1406c03pr0001,1,
1406c02pr0001,1,
2029pr0002,1,
31174c04,1,
6441,1,
2325,1,
44716,1,
42094,1,
46321c03,1,
46321c02,1,
14013c02,1,
41169c05,1,
41169c03,1,
41169c02,1,
41169c01,1,
4653c03,1,
4653c02,1,
17562,1,
42793,1,
6181351card,1,
upn0553,1,
4182735,1,
31639c01pr0002,1,
31639c02pr0002,1,
31639c02pr0001,1,
49843pr0001,1,
priupn0021,1,
priupn0022pr0001,1,
priupn0025,1,
priupn0004,1,
priupn0008,1,
priupn0005,1,
priupn0010,1,
72113c01,1,
31641pr0001,1,
31000,1,
31000pr0037,1,
31000pr0036,1,
31000pr0035,1,
31000pr0029,1,
31000pr0025,1,
31000pr0021,1,
31000pr0016,1,
31000pr0034,1,
31000pr0032,1,
31000pr0033,1,
31000pr0014,1,
31000pr0001,1,
31000pr0010,1,
31005pr0008,1,
31005pr0002,1,
31005pr0017,1,
31005pr0022,1,
31005pr0015,1,
31005pr0019,1,
31005pr0012,1,
31005pr0021,1,
31005pr0014,1,
31005pr0016,1,
31005pr0013,1,
31005pr0007,1,
31005pr0018,1,
31000pr0017,1,
31000pr0031,1,
31000pr0006,1,
31000pr0002,1,
31004pr0001,1,
49272,1,
31001,1,
31001pr0002,1,
31001pr0004,1,
31001pr0003,1,
31767,1,
31150,1,
31139pr0001,1,
31139pr0002,1,
31139pr0003,1,
44589,1,
44591,1,
31616,1,
31615,1,
priupn0006,1,
priupn0018,1,
priupn0007c01pr0001,1,
priupn0007c02pr0002,1,
priupn0007c02pr0001,1,
priupn0009,1,
priupn0020pr0001,1,
priupn0020pr0002,1,
31609c01,1,
31631pat0001,1,
31631pat0002,1,
45211pr0002,1,
45211pr0003,1,
31133,1,
priupn0029,1,
72110,1,
31632c01,1,
priupn0028,1,
priupn0011pr0002,1,
priupn0011pr0003,1,
31118,1,
31117,1,
31119,1,
31127c02,1,
31127c05,1,
31127c04,1,
31127c06,1,
31127c03,1,
priupn0015,1,
priupn0016,1,
priupn0014,1,
31657,1,
priupn0013,1,
49254,1,
49275,1,
49274,1,
49273pr0001,1,
31137,1,
31136,1,
31135,1,
49839pr0001,1,
49833,1,
priupn0012,1,
priupn0023,1,
71978c01,1,
priupn0030,1,
priupn0027,1,
priupn0026,1,
31637,1,
31636pr0001,1,
33109c01,1,
71527,1,
priupn0019,1,
priupn0024,1,
priupn0017,1,
31652,1,
31698,1,
31697pr0001,1,
31697pr0002,1,
71370c01,1,
31605c01,1,
4178010,1,
4173823,1,
